ID;Tecnologia;Periodo;LCOE;Mínimo Pot;Limite Pot;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00
1;Biomassa;1;707529,5;1050;3500;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3
2;Solar Nordeste;1;594907,53;5600;11200;0;0,355790986;0,355790986;0,355790986;0,355790986;0,355790986;0,355790986;0,355790986;0,273649466;0,273649466;0,273649466;0,273649466;0,273649466;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812
3;Solar Sudeste;1;594907,53;1400;2800;0;0,370513857;0,370513857;0,370513857;0,370513857;0,370513857;0,370513857;0,370513857;0,26990629;0,26990629;0,26990629;0,26990629;0,26990629;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353
4;Solar Nordeste DESCONTO;1;431165,28;0;99999;0;0,355790986;0,355790986;0,355790986;0,355790986;0,355790986;0,355790986;0,355790986;0,273649466;0,273649466;0,273649466;0,273649466;0,273649466;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812;0,195837812
5;Solar Sudeste DESCONTO;1;431165,28;0;99999;0;0,370513857;0,370513857;0,370513857;0,370513857;0,370513857;0,370513857;0,370513857;0,26990629;0,26990629;0,26990629;0,26990629;0,26990629;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353;0,175034353
6;EOL Sul;1;790665,88;0;0;0,070460863;0,415412593;0,415412593;0,415412593;0,415412593;0,415412593;0,415412593;0,415412593;0,408213609;0,397690589;0,397690589;0,397690589;0,397690589;0,397690589;0,397690589;0,397690589;0,397690589;0,397690589;0,397690589;0,397690589;0,397690589;0,397690589;0,397690589;0,397690589
7;EOL Nordeste;1;790665,88;0;21000;0,323681324;0,531621276;0,531621276;0,531621276;0,531621276;0,531621276;0,531621276;0,531621276;0,546613659;0,531290009;0,531290009;0,531290009;0,531290009;0,531290009;0,531290009;0,531290009;0,531290009;0,531290009;0,531290009;0,531290009;0,531290009;0,531290009;0,531290009;0,531290009
8;Biogás;1;1613253,85;0;210;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;EOL Offshore SE;1;1798765,69;0;99999;0,002126641;0,590032834;0,590032834;0,590032834;0,590032834;0,590032834;0,590032834;0,590032834;0,493674235;0,493674235;0,493674235;0,493674235;0,493674235;0,431337169;0,431337169;0,431337169;0,431337169;0,431337169;0,431337169;0,431337169;0,431337169;0,431337169;0,431337169;0,431337169
10;EOL Offshore S;1;1798765,69;0;99999;0,101442177;0,607474587;0,607474587;0,607474587;0,607474587;0,607474587;0,607474587;0,607474587;0,596807376;0,596807376;0,596807376;0,596807376;0,596807376;0,581856251;0,581856251;0,581856251;0,581856251;0,581856251;0,581856251;0,581856251;0,581856251;0,581856251;0,581856251;0,581856251
11;EOL Offshore NE;1;1798765,69;0;99999;0,441905221;0,732298801;0,732298801;0,732298801;0,732298801;0,732298801;0,732298801;0,732298801;0,753665965;0,753665965;0,753665965;0,753665965;0,753665965;0,732231483;0,732231483;0,732231483;0,732231483;0,732231483;0,732231483;0,732231483;0,732231483;0,732231483;0,732231483;0,732231483
12;EOL Offshore N;1;1798765,69;0;99999;0,174824931;0,28970938;0,28970938;0,28970938;0,28970938;0,28970938;0,28970938;0,28970938;0,29816258;0,29816258;0,29816258;0,29816258;0,29816258;0,289682748;0,289682748;0,289682748;0,289682748;0,289682748;0,289682748;0,289682748;0,289682748;0,289682748;0,289682748;0,289682748
