ID UHE;Nome;Limite Máximo;Garantia Física;GHMin
288;BELO MONTE;10999,8;2886,516791;130,07
285;JIRAU;3750;2265,031418;309,52
287;STO ANTONIO;3568,8;2418,06137;154,44
229;TELES PIRES;1820;1004,261266;0
99;14 DE JULHO;100;58,50462269;58,50462269
18;A. VERMELHA;1396,2;870,5809483;9,23
47;A.A. LAYDNER;101;59,53727623;1,78
16;A.S.OLIVEIRA;32;17,46853086;7,27
38;A.SOUZA LIMA;144;74,18336574;18,14
143;AIMORES;330;176,0989954;18,98
312;B. COQUEIROS;90;59,99472068;27,28
190;B. ESPERANCA;237,4;144,2777106;13,1
141;BAGUARI;140;82,18203241;0
277;BALBINA;250;116,9041721;5,84
37;BARRA BONITA;140;64,68812114;19,42
86;BARRA GRANDE;690;354,1234537;0
20;BATALHA;52,6;31,46336651;27,93
32;CACH DOURADA;658;400,9640301;4,2
14;CACONDE;80,4;39,43574846;13,6
311;CACU;65;42,83781327;5,43
1;CAMARGOS;46;25,4289375;21,28
90;CAMPOS NOVOS;879,9;447,6095525;119,83
252;CANA BRAVA;450;287,3917577;12,83
139;CANDONGA;140,1;66,34408719;13,11
52;CANOAS I;82,5;61,812625;10,88
51;CANOAS II;72;50,3562608;15,91
27;CAPIM BRANC1;240;155,5440849;16,11
28;CAPIM BRANC2;210;132,9742608;63,02
61;CAPIVARA;619;406,2745378;0
97;CASTRO ALVES;129,9;72,10695448;41,88
49;CHAVANTES;414;212,662821;7,71
280;COARA NUNES;78;59,05721605;0
176;COMP PAF-MOX;4279,6;1898,798411;32,96
30;CORUMBA I;375;233,3761134;6,89
203;CORUMBA III;96,4;52,80022685;10,41
29;CORUMBA IV;127;72,25456944;6,48
114;D. FRANCISCA;125;82,13651157;0
310;DARDANELOS;261;149,1084344;11,73
24;EMBORCACAO;1192;484,2423025;10,16
290;ESPORA;32,1;24,12360108;24,12360108
8;ESTREITO GDE;1104;540,5463256;77,37
267;ESTREITO TOC;1087,2;621,7534066;6,1
15;EUCLID CUNHA;108,8;57,75671373;7,23
284;FERREIRA GOM;252;139,7395718;13,97
132;FONTES;132;70,76318287;0
103;FOZ CHAPECO;855,2;475,741419;14,43
315;FOZ R CLARO;68,4;45,32880015;5,47
72;FUNDAO;120,2;73,7182963;22,23
4;FUNIL GRANDE;180;93,91212963;35,68
123;FUNIL PB SUL;222;112,8481698;92,86
6;FURNAS;1312;661,0951011;66,04
74;G. B. MUNHOZ;1676;689,3767994;44,6
115;G. P. SOUZA;260;128,4060795;0,46
89;GARIBALDI;189;91,98400463;32,48
196;GUAPORE;120;42,60196682;0
117;GUARAPIRANGA;0;0;0
192;GUILMAN-AMOR;140;63,48210031;9,43
119;HENRY BORDEN;889;134,5982816;10,59
39;IBITINGA;131,4;81,7974784;27,05
10;IGARAPAVA;210;144,9803904;35,49
130;ILHA POMBOS;187,1;97,83171682;97,83171682
44;ILHA SOLT EQ;4251,5;2224,224958;9,93
148;IRAPE;399;188,079841;29,83
92;ITA;1450;824,9306227;824,9306227
66;ITAIPU;14000;9767,003255;0
172;ITAPARICA;1479,6;827,9100285;3,65
154;ITAPEBI;461,9;212,8099823;11,58
113;ITAUBA;500;199,835436;12,53
304;ITIQUIRA 1;60,8;45,22603164;20,6
305;ITIQUIRA 2;96,6;69,32426775;40,43
31;ITUMBIARA;2082;987,6991196;8,71
2;ITUTINGA;52;29,59143364;9,57
112;JACUI;180;123,8532238;68,66
9;JAGUARA;424;353,4796296;2,03
120;JAGUARI;27,6;14,77958719;14,77958719
195;JAURU;118;76,94526852;76,94526852
45;JUPIA;1551,2;1088,716515;12,97
50;L. N. GARCEZ;74;58,31944136;58,31944136
261;LAJEADO;902,5;551,3590069;0
124;LAJES;0;0;0
91;MACHADINHO;1140;603,1398827;17,94
278;MANSO;210;81,77839429;81,77839429
17;MARIMBONDO;1488;803,2037847;47,99
7;MASC. MORAES;478;311,1840239;18,24
144;MASCARENHAS;198;131,4457824;3,73
57;MAUA;352,2;219,934669;23,22
