ID UTE;Tecnologia;Cenario;GTMin;CVU;CAPEX;Cap Minima;Cap Máxima
1;GNL SE FLEX;1;0;363,4696285;810276,2074;0;99999
2;GNL SE I 50;1;0,5;333,8366662;810276,2074;0;99999
3;GNL SE I 100;1;1;299,2648768;810276,2074;0;99999
4;GNL S FLEX;1;0;363,4696285;810276,2074;0;99999
5;GNL S I 50;1;0,5;333,8366662;810276,2074;0;99999
6;GNL S I 100;1;1;299,2648768;810276,2074;0;99999
7;GNL NE FLEX;1;0;363,4696285;810276,2074;0;99999
8;GNL NE I SAZ;1;0;299,2648768;810276,2074;0;99999
9;GNL NE I 100;1;1;299,2648768;810276,2074;0;99999
10;GNL N FLEX;1;0;363,4696285;810276,2074;0;99999
11;GNL N I 50;1;0,5;333,8366662;810276,2074;0;99999
12;GN CA SE;1;0;475,1457945;751735,7359;0;99999
13;GN CA S;1;0;475,1457945;751735,7359;0;99999
14;GN CA NE;1;0;475,1457945;751735,7359;0;99999
15;GN CA N;1;0;475,1457945;751735,7359;0;99999
16;CAVACO;1;0,3;200;1034377,364;300;600
17;CARVAO NAC;1;0,5;120;1589859,183;0;1000
18;GN PRE SAL;1;0,5;209,8347321;1003614,132;0;3000
