Nome;Cenario;Capacidade Instalada;Garantia Física;G_periodo1;G_periodo2;G_periodo3;G_periodo4;G_periodo5;G_periodo6;G_periodo7;G_periodo8;G_periodo9;G_periodo10;G_periodo11;G_periodo12;G_periodo13;G_periodo14;G_periodo15;G_periodo16;G_periodo17;G_periodo18;G_periodo19;G_periodo20;G_periodo21;G_periodo22;G_periodo23;G_periodo24;G_periodo25;G_periodo26;G_periodo27;G_periodo28;G_periodo29;G_periodo30;G_periodo31;G_periodo32;G_periodo33;G_periodo34;G_periodo35;G_periodo36;G_periodo37;G_periodo38;G_periodo39;G_periodo40;G_periodo41;G_periodo42;G_periodo43;G_periodo44;G_periodo45;G_periodo46;G_periodo47;G_periodo48
BELO MONTE;1;2886,516791;2886,516791;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;130,07;2886,5168;2886,5168;2870,9077;2886,5168;2886,5168;2886,5168;130,07;2886,5168;130,07;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;2886,5168;130,07;130,07;130,07;2299,49;2886,5168;2886,5168;130,07;130,07;2886,5168
JIRAU;1;2265,031418;2265,031418;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314;2265,0314
STO ANTONIO;1;2418,06137;2418,06137;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614;2418,0614
TELES PIRES;1;1004,261266;1004,261266;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;0,0;0,0;0,0;1004,2613;1004,2613;0,0;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;1004,2613;0,0;1004,2613;1004,2613;1004,2613;0,0;0,0;0,0;0,0;1004,2613;1004,2613
14 DE JULHO;1;58,50462269;58,50462269;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623
A. VERMELHA;1;870,5809483;870,5809483;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095;870,58095
A.A. LAYDNER;1;59,53727623;59,53727623;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276;59,537276
A.S.OLIVEIRA;1;17,46853086;17,46853086;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531;17,468531
A.SOUZA LIMA;1;74,18336574;74,18336574;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;18,14;18,14;74,183366;18,14;74,183366;74,183366;18,14;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;74,183366;18,14;18,14;18,14;74,183366;74,183366;74,183366;74,183366;74,183366;18,14;74,183366
AIMORES;1;176,0989954;176,0989954;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099;176,099
B. COQUEIROS;1;59,99472068;59,99472068;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721;59,994721
B. ESPERANCA;1;144,2777106;144,2777106;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;13,1;144,27771;144,27771;13,1;144,27771;144,27771;144,27771;144,27771;13,1;13,1;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;144,27771;13,1;144,27771;144,27771;144,27771;13,1;13,1;144,27771;13,1;144,27771;13,1
BAGUARI;1;82,18203241;82,18203241;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032;82,182032
BALBINA;1;116,9041721;116,9041721;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;5,84;116,90417;116,90417;5,84;5,84;5,84;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;116,90417;5,84;5,84;116,90417;116,90417;116,90417;5,84;5,84;5,84;116,90417
