Nome;Cenario;Capacidade;Garantia Física;CAPEX; Investimento;G_periodo1;G_periodo2;G_periodo3;G_periodo4;G_periodo5;G_periodo6;G_periodo7;G_periodo8;G_periodo9;G_periodo10;G_periodo11;G_periodo12;G_periodo13;G_periodo14;G_periodo15;G_periodo16;G_periodo17;G_periodo18;G_periodo19;G_periodo20;G_periodo21;G_periodo22;G_periodo23;G_periodo24;G_periodo25;G_periodo26;G_periodo27;G_periodo28;G_periodo29;G_periodo30;G_periodo31;G_periodo32;G_periodo33;G_periodo34;G_periodo35;G_periodo36;G_periodo37;G_periodo38;G_periodo39;G_periodo40;G_periodo41;G_periodo42;G_periodo43;G_periodo44;G_periodo45;G_periodo46;G_periodo47;G_periodo48
ALTA FLORESTA;1;127,8;58,48449306;1184838863,0;0.0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
APERTADOS;1;139,0;81,39488735;191549717,4;1.0;139,0;139,0;139,0;139,0;139,0;139,0;139,0;139,0;139,0;139,0;139,0;139,0;60,867228;139,0;16,01;16,01;16,01;16,01;16,01;16,01;16,01;16,01;16,01;16,01;139,0;139,0;139,0;139,0;139,0;139,0;139,0;139,0;34,877365;139,0;16,01;139,0;139,0;139,0;16,01;16,01;16,01;16,01;16,01;16,01;16,01;16,01;16,01;16,01
BEM QUERER;1;650,0;336,2774375;893429741,9;1.0;650,0;650,0;650,0;650,0;650,0;650,0;650,0;650,0;588,93091;650,0;650,0;650,0;650,0;650,0;23,17;23,17;23,17;23,17;23,17;23,17;23,17;23,17;23,17;23,17;650,0;650,0;650,0;650,0;650,0;650,0;650,0;650,0;23,17;69,476089;23,17;23,17;650,0;650,0;23,17;23,17;23,17;23,17;23,17;23,17;23,17;23,17;23,17;23,17
BURITI QUEIM;1;142,0;85,10074923;296080378,8;0.0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CASTANHEIRA;1;140,0;97,79968133;248047186,3;1.0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;46,0;46,0;46,0;46,0;46,0;46,0;46,0;46,0;46,0;46,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;88,384704;140,0;140,0;140,0;46,0;140,0;46,0;46,0;46,0;46,0;46,0;46,0;46,0;46,0;46,0;46,0
COMISSARIO;1;140,0;75,44613426;212470808,2;1.0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;9,23;9,23;9,23;9,23;9,23;9,23;9,23;9,23;9,23;9,23;140,0;140,0;140,0;140,0;140,0;140,0;140,0;140,0;49,124444;9,23;140,0;140,0;9,23;9,23;9,23;9,23;9,23;9,23;9,23;9,23;9,23;9,23;9,23;9,23
COUTO MAGALH;1;150,0;108,293081;1356259617,0;0.0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
DAVINOPOLIS;1;80,0;43,94878704;155136392,0;1.0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;7,55;7,55;7,55;7,55;7,55;7,55;7,55;7,55;7,55;7,55;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;15,891778;7,55;80,0;7,55;80,0;7,55;7,55;7,55;7,55;7,55;7,55;7,55;7,55;7,55;7,55;7,55
ERCILANDIA;1;87,1;54,3298287;131456315,8;1.0;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;12,03;12,03;12,03;12,03;12,03;12,03;12,03;12,03;12,03;12,03;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;87,1;15,531778;12,03;12,03;12,03;12,03;12,03;12,03;12,03;12,03;12,03;12,03
FORMOSO;1;342,0;166,177027;594559285,9;1.0;342,0;342,0;342,0;342,0;342,0;342,0;342,0;342,0;19,15;342,0;342,0;342,0;342,0;342,0;19,15;19,15;19,15;19,15;19,15;19,15;19,15;19,15;19,15;19,15;342,0;342,0;342,0;342,0;342,0;342,0;342,0;342,0;19,15;19,15;19,15;296,5973;19,15;19,15;19,15;19,15;19,15;19,15;19,15;19,15;19,15;19,15;19,15;19,15
