Nome;Cenario;Capacidade Instalada;GT Mínimo; CVU;G_periodo1;G_periodo2;G_periodo3;G_periodo4;G_periodo5;G_periodo6;G_periodo7;G_periodo8;G_periodo9;G_periodo10;G_periodo11;G_periodo12;G_periodo13;G_periodo14;G_periodo15;G_periodo16;G_periodo17;G_periodo18;G_periodo19;G_periodo20;G_periodo21;G_periodo22;G_periodo23;G_periodo24
ANGRA 1;1;640,0;534,0358912;31,17;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0;640,0
ANGRA 2;1;1350,0;1078,116914;20,12;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0;1350,0
MARANHAO V;1;337,6;0,0;119,69434;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
MARANHAO IV;1;337,6;0,0;119,69434;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;337,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ANGRA 3;1;1405,0;1218,584038;25,58;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0;1405,0
ERB CANDEIAS;1;16,79;0,0;82,13652894;16,79;16,79;16,79;16,79;16,79;16,79;16,79;16,79;16,79;16,79;16,79;16,79;16,79;16,79;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PAMPA SUL;1;345,0;170,8554076;65,46;345,0;345,0;345,0;345,0;345,0;345,0;345,0;345,0;345,0;345,0;345,0;345,0;345,0;345,0;170,85541;170,85541;170,85541;170,85541;170,85541;170,85541;170,85541;170,85541;170,85541;170,85541
PARNAIBA IV;1;56,28;0,0;151,69;56,28;56,28;56,28;56,28;56,28;56,28;56,28;56,28;56,28;56,28;56,28;56,28;56,28;56,28;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SUZANO MA;1;254,84;194,7380655;0,0;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84;254,84
NOVO TEMPO;1;1298,96;0,0;254,55;1298,96;1298,96;1298,96;1298,96;1298,96;1298,96;1298,96;1298,96;1298,96;1298,96;1298,96;1298,96;1298,96;1298,96;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
