Nome;Cenario;CAPEX;Capacidade;GT Mínimo;CVU;Investimento;G_periodo1;G_periodo2;G_periodo3;G_periodo4;G_periodo5;G_periodo6;G_periodo7;G_periodo8;G_periodo9;G_periodo10;G_periodo11;G_periodo12;G_periodo13;G_periodo14;G_periodo15;G_periodo16;G_periodo17;G_periodo18;G_periodo19;G_periodo20;G_periodo21;G_periodo22;G_periodo23;G_periodo24
Nuclear;1;3953735541,0;1366,6875;1,0;35,0;1,0;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875;1366,6875
TERMOBAHIA;1;100063492,7;159,2891939;0,0;678,0;1,0;159,28919;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
VALE DO ACU;1;204716623,9;325,8845471;0,0;593,0;1,0;325,88455;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ELETROBOLT;1;170278988,3;271,063922;0,0;539,0;1,0;271,06392;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
TRES LAGOAS;1;175576345,8;279,496686;0,0;678,0;1,0;279,49669;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CCBS;1;116475264,1;185,4147845;0,0;494,0;1,0;185,41478;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
TERMOCEARA;1;77006147,11;122,5846387;0,0;608,0;1,0;122,58464;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
TERMORIO;1;548932045,5;873,8346092;0,0;457,0;1,0;873,83461;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LINHARES;1;122360616,0;194,7835656;0,0;527,0;1,0;194,78357;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
TERMOMACAE;1;507409141,8;807,735079;0,0;539,0;1,0;807,73508;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
