Nome;Cenario;Capacidade Instalada;Garantia Física;G_periodo1;G_periodo2;G_periodo3;G_periodo4;G_periodo5;G_periodo6;G_periodo7;G_periodo8;G_periodo9;G_periodo10;G_periodo11;G_periodo12;G_periodo13;G_periodo14;G_periodo15;G_periodo16;G_periodo17;G_periodo18;G_periodo19;G_periodo20;G_periodo21;G_periodo22;G_periodo23;G_periodo24
BELO MONTE;1;10999,8;2886,516791;10999,8;130,07;988,22108;4663,8072;130,07;130,07;130,07;130,07;130,07;130,07;10999,8;130,07;10999,8;130,07;10999,8;130,07;130,07;130,07;10999,8;130,07;130,07;6544,2547;130,07;130,07
JIRAU;1;3750,0;2265,031418;3750,0;309,52;3750,0;3750,0;3750,0;3750,0;3750,0;3750,0;309,52;3750,0;3750,0;2515,554;3750,0;309,52;309,52;309,52;309,52;309,52;309,52;309,52;3750,0;3750,0;309,52;3750,0
STO ANTONIO;1;3568,8;2418,06137;3568,8;3568,8;3568,8;3568,8;3568,8;3568,8;3568,8;3568,8;3568,8;3568,8;3568,8;3568,8;154,44;3568,8;154,44;154,44;154,44;154,44;154,44;154,44;154,44;3568,8;3265,9529;3568,8
TELES PIRES;1;1820,0;1004,261266;1820,0;530,18367;1820,0;1820,0;1820,0;0,0;1820,0;1732,0867;1820,0;0,0;1820,0;1820,0;1820,0;0,0;0,0;0,0;1820,0;0,0;0,0;0,0;1820,0;0,0;0,0;1820,0
14 DE JULHO;1;100,0;58,50462269;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623;58,504623
A. VERMELHA;1;1396,2;870,5809483;1396,2;1396,2;1396,2;1396,2;1396,2;1396,2;1396,2;1396,2;1396,2;1396,2;9,23;9,23;1396,2;1396,2;1396,2;1264,0728;9,23;1396,2;9,23;9,23;9,23;9,23;9,23;9,23
A.A. LAYDNER;1;101,0;59,53727623;101,0;1,78;1,78;1,78;1,78;101,0;101,0;98,09463;1,78;101,0;101,0;101,0;1,78;101,0;1,78;1,78;101,0;101,0;1,78;101,0;1,78;101,0;101,0;101,0
A.S.OLIVEIRA;1;32,0;17,46853086;7,27;7,27;32,0;32,0;7,27;7,27;7,27;32,0;7,27;32,0;7,27;32,0;32,0;32,0;7,27;7,27;7,27;7,27;32,0;29,464741;32,0;7,27;7,27;7,27
A.SOUZA LIMA;1;144,0;74,18336574;144,0;18,14;18,14;144,0;18,14;104,58078;18,14;144,0;18,14;144,0;144,0;18,14;18,14;144,0;18,14;18,14;144,0;144,0;18,14;144,0;18,14;18,14;144,0;18,14
AIMORES;1;330,0;176,0989954;18,98;330,0;57,59589;18,98;330,0;330,0;18,98;18,98;18,98;330,0;330,0;330,0;330,0;330,0;330,0;18,98;18,98;330,0;18,98;330,0;18,98;18,98;18,98;330,0
