Nome;Cenario;Cap Mínimo;Cap Máximo;Capacidade Instalada Projetada;GT Mínimo; CVU; CAPEX;G_periodo1;G_periodo2;G_periodo3;G_periodo4;G_periodo5;G_periodo6;G_periodo7;G_periodo8;G_periodo9;G_periodo10;G_periodo11;G_periodo12;G_periodo13;G_periodo14;G_periodo15;G_periodo16;G_periodo17;G_periodo18;G_periodo19;G_periodo20;G_periodo21;G_periodo22;G_periodo23;G_periodo24
GNL SE FLEX;1;0,0;99999,0;0,0;0,0;363,4696285;810276,2074;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GNL SE I 50;1;0,0;99999,0;0,0;0,5;333,8366662;810276,2074;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GNL SE I 100;1;0,0;99999,0;0,0;1,0;299,2648768;810276,2074;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GNL S FLEX;1;0,0;99999,0;0,0;0,0;363,4696285;810276,2074;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GNL S I 50;1;0,0;99999,0;0,0;0,5;333,8366662;810276,2074;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GNL S I 100;1;0,0;99999,0;0,0;1,0;299,2648768;810276,2074;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GNL NE FLEX;1;0,0;99999,0;0,0;0,0;363,4696285;810276,2074;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GNL NE I SAZ;1;0,0;99999,0;0,0;0,0;299,2648768;810276,2074;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GNL NE I 100;1;0,0;99999,0;0,0;1,0;299,2648768;810276,2074;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GNL N FLEX;1;0,0;99999,0;0,0;0,0;363,4696285;810276,2074;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GNL N I 50;1;0,0;99999,0;0,0;0,5;333,8366662;810276,2074;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GN CA SE;1;0,0;99999,0;0,0;0,0;475,1457945;751735,7359;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GN CA S;1;0,0;99999,0;0,0;0,0;475,1457945;751735,7359;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GN CA NE;1;0,0;99999,0;0,0;0,0;475,1457945;751735,7359;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GN CA N;1;0,0;99999,0;0,0;0,0;475,1457945;751735,7359;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CAVACO;1;300,0;600,0;300,0;0,3;200,0;1034377,364;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0
CARVAO NAC;1;0,0;1000,0;0,0;0,5;120,0;1589859,183;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
GN PRE SAL;1;0,0;3000,0;0,0;0,5;209,8347321;1003614,132;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
